character,radical,decomposition,pinyin,definition,etymology,stroke_count,radical_code,frequency_rank,hsk_levl
先,儿,⿱⿰？土儿,xiān,"first, former, previous","{'type': 'ideographic', 'hint': 'Someone stepping\xa0止\xa0in front of another person\xa0儿'}",6,10.4,188,1.0
海,水,⿰氵每,hǎi,"sea, ocean; maritime","{'type': 'pictophonetic', 'phonetic': '每', 'semantic': '氵', 'hint': 'water'}",10,85.7,189,4.0
通,辵,⿺辶甬,tōng,"pass through, common, communicate","{'type': 'pictophonetic', 'phonetic': '甬', 'semantic': '辶', 'hint': 'walk'}",10,162.7,190,4.0
教,攴,⿰孝攵,jiào,"teach, class","{'type': 'pictophonetic', 'phonetic': '孝', 'semantic': '攵', 'hint': 'script'}",11,66.7,191,2.0
儿,儿,⿰丿乚,ér,"son, child; KangXi radical 10","{'type': 'pictographic', 'hint': 'Simplified form of\xa0兒, a picture of a child; compare\xa0人'}",2,10.0,192,1.0
原,厂,⿸厂泉,yuán,"source, origin, beginning","{'type': 'pictophonetic', 'phonetic': '泉', 'semantic': '厂', 'hint': 'cliff'}",10,27.8,193,4.0
东,一,⿻七小,dōng,"east, eastern, eastward","{'type': 'pictographic', 'hint': 'Simplified form of\xa0東, the sun\xa0日\xa0rising behind a tree\xa0木'}",5,1.4,194,1.0
声,士,⿱士？,shēng,"sound, voice, noise; tone; music","{'type': 'ideographic', 'hint': 'Simplified form of 聲; see that character for the etymology'}",7,33.4,195,3.0
提,手,⿰扌是,tí,hold in hand; lift in hand,"{'type': 'pictophonetic', 'phonetic': '是', 'semantic': '扌', 'hint': 'hand'}",12,64.9,196,3.0
立,立,⿳亠丷一,lì,"stand; let stand; establish, set","{'type': 'pictographic', 'hint': 'A man standing on the ground\xa0一'}",5,117.0,197,5.0
及,又,⿻？又,jí,extend; reach; come up to; and,,3,29.2,198,4.0
比,比,⿰匕匕,bǐ,"to compare, liken; comparison; than","{'type': 'ideographic', 'hint': 'Two spoons 匕 side-by-side;\xa0匕 also provides the pronunciation'}",4,81.0,199,2.0
员,口,⿱口贝,yuán,"member; personnel, staff member","{'type': 'pictophonetic', 'semantic': '贝', 'hint': 'money'}",7,30.4,200,2.0
解,角,⿰角⿱刀牛,jiě,"loosen, unfasten, untie; explain","{'type': 'ideographic', 'hint': 'To cut\xa0刀 the horns\xa0角 off of an ox\xa0牛;\xa0角 also provides the pronunciation'}",13,148.6,201,3.0
水,水,⿻亅？,shuǐ,"water, liquid, lotion, juice","{'type': 'pictographic', 'hint': 'A river running between two banks; compare\xa0川'}",4,85.0,202,1.0
名,口,⿸夕口,míng,"name, rank, title, position","{'type': 'ideographic', 'hint': 'A name called out\xa0口 to hail someone at night\xa0夕'}",6,30.3,203,1.0
真,目,⿱直几,zhēn,"real, actual, true, genuine","{'type': 'ideographic', 'hint': 'A straight\xa0直\xa0(that is, level) table\xa0几'}",10,109.5,204,2.0
论,言,⿰讠仑,lùn,debate; discuss; discourse,"{'type': 'ideographic', 'hint': 'Speech\xa0讠 that explains the logic 仑;\xa0仑 also provides the pronunciation'}",6,149.4,205,4.0
处,夂,⿺夂卜,chù,"place, locale; department","{'type': 'ideographic', 'hint': 'To go somewhere 夂 and put down a flag 卜'}",5,34.2,206,4.0
走,走,⿱土止,zǒu,"walk, go on foot; run; leave","{'type': 'ideographic', 'hint': 'Someone\xa0土 stepping with their foot\xa0止'}",7,156.0,207,2.0
义,丿,⿻丶乂,yì,"right conduct, righteousness","{'type': 'pictophonetic', 'phonetic': '乂', 'semantic': '⺷', 'hint': 'sheep; simplified form of\xa0義'}",3,4.2,208,5.0
各,口,⿱夂口,gè,"each, individually, every, all","{'type': 'ideographic', 'hint': 'Walking\xa0夂 and talking\xa0口'}",6,30.3,209,4.0
入,入,？,rù,"enter, come in(to), join","{'type': 'ideographic', 'hint': 'An arrow indicating ""enter""'}",2,11.0,210,4.0
几,几,⿰丿乙,jǐ,small table,"{'type': 'pictographic', 'hint': 'A small table; compare\xa0丌'}",2,16.0,211,1.0
口,口,⿱冂一,kǒu,"mouth; open end; entrance, gate","{'type': 'pictographic', 'hint': 'An open mouth'}",3,30.0,212,3.0
认,言,⿰讠人,rèn,"recognize, know, understand","{'type': 'pictophonetic', 'phonetic': '人', 'semantic': '讠', 'hint': 'speech'}",4,149.2,213,1.0
条,木,⿱夂木,tiáo,"clause, condition; string, stripe",,7,75.3,214,2.0
平,干,⿻干丷,píng,"flat, level, even; peaceful","{'type': 'pictographic', 'hint': 'A leveling scale'}",5,51.2,215,3.0
系,糸,⿱丿糸,xì,"system; line, link, connection","{'type': 'pictophonetic', 'semantic': '糸', 'hint': 'thread'}",7,120.1,216,1.0
气,气,⿱亻？,qì,"steam, vapor; KangXi radical 84","{'type': 'ideographic', 'hint': 'A person 亻\xa0breathing air'}",4,84.0,217,1.0
题,頁,⿺是页,tí,"forehead; title, headline; theme","{'type': 'pictophonetic', 'phonetic': '是', 'semantic': '页', 'hint': 'head'}",15,181.9,218,2.0
活,水,⿰氵舌,huó,"live, exist, survive; lively","{'type': 'pictophonetic', 'phonetic': '舌', 'semantic': '氵', 'hint': 'water'}",9,85.6,219,4.0
尔,小,⿱⺈小,ěr,"you; that, those; final particle",,5,42.2,220,4.0
更,曰,⿱一⿻曰乂,gèng,"more, still further, much more",,7,73.3,221,3.0
别,刀,⿰另刂,bié,"separate, other; do not","{'type': 'ideographic', 'hint': 'To draw boundaries\xa0刂\xa0between classes\xa0另'}",7,18.5,222,2.0
打,手,⿰扌丁,dǎ,"strike, hit, beat; fight; attack","{'type': 'pictophonetic', 'phonetic': '丁', 'semantic': '扌', 'hint': 'hand'}",5,64.2,223,1.0
女,女,？,nǚ,"woman, girl; feminine; rad. 38","{'type': 'pictographic', 'hint': 'A woman turned to the side'}",3,38.0,224,1.0
变,又,⿱亦又,biàn,"change, transform, alter; rebel",,8,29.6,225,3.0
四,囗,⿴囗儿,sì,four,"{'type': 'ideographic', 'hint': 'A child\xa0儿 in a room with four walls\xa0囗'}",5,31.2,226,1.0
神,示,⿰礻申,shén,"spirit, god, supernatural being","{'type': 'pictophonetic', 'phonetic': '申', 'semantic': '礻', 'hint': 'spirit'}",9,113.5,227,5.0
总,八,⿳丷口心,zǒng,"collect; overall, altogether","{'type': 'ideographic', 'hint': 'Many mouths\xa0口 speaking with one mind\xa0心'}",9,12.7,228,3.0
何,人,⿰亻可,hé,"what, why, where, which, how",,7,9.5,229,4.0
电,曰,⿻曰乚,diàn,electricity; electric; lightning,"{'type': 'ideographic', 'hint': 'Simplified form of 電;\xa0lightning\xa0申 from a\xa0storm cloud 雨'}",5,73.1,230,1.0
数,攴,⿰娄攵,shù,"number; several, count; fate","{'type': 'pictophonetic', 'phonetic': '娄', 'semantic': '攵', 'hint': 'script'}",13,66.9,231,3.0
安,宀,⿱宀女,ān,"peaceful, tranquil, quiet","{'type': 'ideographic', 'hint': 'A woman\xa0女 safe in a house 宀'}",6,40.3,232,3.0
少,小,⿱小丿,shǎo,"few, less, inadequate","{'type': 'pictographic', 'hint': 'Grains of sand;\xa0小 provides the pronunciation and meaning'}",4,42.1,233,1.0
报,手,⿰扌⿸卩又,bào,"report, tell, announce","{'type': 'ideographic', 'hint': 'A hand\xa0扌 cuffing\xa0又\xa0a criminal\xa0卩, representing sentencing'}",7,64.4,234,2.0
才,手,⿻扌？,cái,"talent, ability; just, only","{'type': 'ideographic', 'hint': 'A sprout growing in the ground, representing a budding talent'}",3,64.0,235,3.0
结,糸,⿰纟吉,jié,"knot, tie; join, connect","{'type': 'pictophonetic', 'phonetic': '吉', 'semantic': '纟', 'hint': 'thread'}",9,120.6,236,3.0
反,又,⿸厂又,fǎn,"reverse, opposite, contrary, anti","{'type': 'ideographic', 'hint': 'A hand\xa0又 held up against a cliff\xa0厂'}",4,29.2,237,4.0
受,又,⿳爫冖又,shòu,"receive, accept, get; bear, stand","{'type': 'ideographic', 'hint': 'Something\xa0冖\xa0passed from one hand\xa0爫 to another\xa0又'}",8,29.6,238,4.0
目,目,⿴口二,mù,"eye; look, see; division, topic","{'type': 'pictographic', 'hint': 'An eye drawn on its side'}",5,109.0,239,3.0
太,大,⿵大丶,tài,"very, too, much; big; extreme","{'type': 'ideographic', 'hint': 'A giant\xa0大 with a normal-sized man\xa0丶 for scale'}",4,37.1,240,1.0
量,里,⿱旦里,liàng,"measure, quantity, capacity","{'type': 'pictophonetic', 'phonetic': '旦', 'semantic': '里', 'hint': 'unit'}",12,166.5,241,4.0
再,冂,⿱一冉,zài,"again, twice, re-","{'type': 'pictographic', 'hint': 'Two fish\xa0冉\xa0caught on a line\xa0一'}",6,13.4,242,1.0
感,心,⿱咸心,gǎn,"feel, perceive, emotion","{'type': 'ideographic', 'hint': 'Two hearts\xa0心 beating together\xa0咸'}",13,61.9,243,3.0
建,廴,⿺廴聿,jiàn,"build, establish, erect, found","{'type': 'pictophonetic', 'phonetic': '聿', 'semantic': '廴', 'hint': 'action'}",8,54.6,244,4.0
务,夂,⿱夂力,wù,"affairs, business; must, should",,5,34.2,245,2.0
做,人,⿰亻故,zuò,"work, make; act","{'type': 'ideographic', 'hint': 'Someone\xa0亻 who causes things to happen\xa0故;\xa0故 also provides the pronuncation'}",11,9.9,246,1.0
接,手,⿰扌妾,jiē,receive; continue; catch; connect,"{'type': 'pictophonetic', 'phonetic': '妾', 'semantic': '扌', 'hint': 'hand'}",11,64.8,247,3.0
必,心,⿻心丿,bì,"surely, most certainly; must",,5,61.1,248,3.0
场,土,⿰土勿,chǎng,"open space, field, market","{'type': 'pictophonetic', 'phonetic': '昜', 'semantic': '土', 'hint': 'earth'}",6,32.3,249,2.0
件,人,⿰亻牛,jiàn,numerary adjunct for article; matter,"{'type': 'ideographic', 'hint': 'A man\xa0亻 dividing up a cow\xa0牛'}",6,9.4,250,2.0
计,言,⿰讠十,jì,"plan, plot; strategem; scheme","{'type': 'pictophonetic', 'phonetic': '十', 'semantic': '讠', 'hint': 'speech'}",4,149.2,251,4.0
管,竹,⿱⺮官,guǎn,"pipe, tube, duct; woodwind music","{'type': 'pictophonetic', 'phonetic': '官', 'semantic': '⺮', 'hint': 'bamboo'}",14,118.8,252,4.0
期,月,⿰其月,qī,period of time; date; time limit,"{'type': 'pictophonetic', 'phonetic': '其', 'semantic': '月', 'hint': 'moon'}",12,74.8,253,1.0
市,巾,⿱亠巾,shì,"market, fair; city, town; trade",,5,50.2,254,3.0
直,目,⿳十目一,zhí,"straight, erect, vertical","{'type': 'ideographic', 'hint': 'To look someone in the eye\xa0目'}",8,109.3,255,3.0
德,彳,⿰彳⿱⿱十罒⿱一心,dé,"ethics, morality, virtue","{'type': 'pictophonetic', 'semantic': '心', 'hint': 'heart'}",15,60.12,256,5.0
资,貝,⿱次贝,zī,property; wealth; capital,"{'type': 'pictophonetic', 'phonetic': '次', 'semantic': '贝', 'hint': 'money'}",10,154.6,257,4.0
命,口,⿹令口,mìng,"life; destiny, fate, luck; an order, instruction","{'type': 'ideographic', 'hint': 'An order\xa0令 given by mouth\xa0口'}",8,30.5,258,4.0
山,山,⿶凵丨,shān,"mountain, hill, peak","{'type': 'pictographic', 'hint': 'Three mountain peaks'}",3,46.0,259,3.0
金,金,⿱人⿻王丷,jīn,gold; metals in general; money,"{'type': 'pictographic', 'hint': 'A cast-iron bell'}",8,167.0,260,4.0
指,手,⿰扌旨,zhǐ,"finger, toe; point, indicate","{'type': 'ideographic', 'hint': 'To point 旨 by hand\xa0扌;\xa0旨 also provides the pronunciation'}",9,64.6,261,4.0
克,儿,⿱十兄,kè,gram; overcome; transliteration,"{'type': 'ideographic', 'hint': 'A weapon\xa0十 used to subdue a beast 兄'}",7,10.5,262,4.0
许,言,⿰讠午,xǔ,"allow, permit; promise; betroth","{'type': 'pictophonetic', 'phonetic': '午', 'semantic': '讠', 'hint': 'speech'}",6,149.4,263,4.0
统,糸,⿰纟充,tǒng,"govern, command, control; unite","{'type': 'pictophonetic', 'phonetic': '充', 'semantic': '纟', 'hint': 'thread'}",9,120.6,264,5.0
区,匸,⿷匸乂,qū,"area, district, region, ward","{'type': 'ideographic', 'hint': ""A place 匸 under a lord's control\xa0乂""}",4,23.2,265,4.0
保,人,⿰亻呆,bǎo,"protect, safeguard, defend, care","{'type': 'pictophonetic', 'phonetic': '呆', 'semantic': '亻', 'hint': 'person'}",9,9.7,266,4.0
至,至,⿱⿱一厶土,zhì,"reach, arrive; extremely, very","{'type': 'ideographic', 'hint': 'A bird alighting on the ground\xa0土'}",6,133.0,267,4.0
队,阜,⿰阝人,duì,"team, group; army unit","{'type': 'ideographic', 'hint': 'A group of people\xa0人 gathered in one place\xa0阝'}",4,170.2,268,4.0
形,彡,⿰开彡,xíng,"form, shape, appearance","{'type': 'ideographic', 'hint': 'Sunlight\xa0彡 streaming through a window\xa0开'}",7,59.4,269,5.0
社,示,⿰礻土,shè,"god of the soil and altars to him; group of families; company, society","{'type': 'ideographic', 'hint': 'An earth\xa0土\xa0spirit\xa0礻;\xa0礻 also provides the pronunciation'}",7,113.3,270,4.0
便,人,⿰亻更,biàn,"convenience, ease; expedient",,9,9.7,271,2.0
空,穴,⿱穴工,kōng,"empty, hollow, bare, deserted","{'type': 'pictophonetic', 'phonetic': '工', 'semantic': '穴', 'hint': 'cave'}",8,116.3,272,3.0
决,冫,⿰冫夬,jué,"decide, determine, judge",,6,15.4,273,3.0
治,水,⿰氵台,zhì,"govern, regulate, administer","{'type': 'ideographic', 'hint': 'A structure\xa0台 that directs the flow of water\xa0氵'}",8,85.5,274,5.0
展,尸,⿸尸⿻？衣,zhǎn,"open, unfold; stretch, extend","{'type': 'ideographic', 'hint': 'Laying out clothes 㠭 for sale in a market\xa0尸; compare\xa0㠭'}",10,44.7,275,4.0
马,馬,⿹？一,mǎ,horse; surname; KangXi radical 187,"{'type': 'pictographic', 'hint': 'Simplified form of\xa0馬, a horse galloping to the left'}",3,187.0,276,3.0
科,禾,⿰禾斗,kē,"section, department, science","{'type': 'ideographic', 'hint': 'A hand measuring 斗 grain\xa0禾'}",9,115.4,277,4.0
司,口,⿹？口,sī,"take charge of, control, manage; officer","{'type': 'ideographic', 'hint': 'A person speaking orders\xa0口 and raising their arm'}",5,30.2,278,2.0
五,二,⿴二？,wǔ,five; surname,"{'type': 'ideographic', 'hint': 'Five elements (the cross with the extra stroke) between heaven\xa0一\xa0and earth\xa0一\xa0'}",4,7.2,279,1.0
基,土,⿱其土,jī,"foundation, base","{'type': 'pictophonetic', 'phonetic': '其', 'semantic': '土', 'hint': 'earth'}",11,32.8,280,4.0
眼,目,⿰目艮,yǎn,"eye; eyelet, hole, opening","{'type': 'pictophonetic', 'phonetic': '艮', 'semantic': '目', 'hint': 'eye'}",11,109.6,281,2.0
书,丨,⿻？丨,shū,"book, letter, document; writings","{'type': 'ideographic', 'hint': 'A mark made by a pen\xa0⺺'}",4,2.3,282,1.0
非,非,⿰？？,fēi,"not, negative, non-; oppose","{'type': 'ideographic', 'hint': ""Two bird's wings opposed; two people back-to-back""}",8,175.0,283,2.0
则,刀,⿰贝刂,zé,"rule, law, regulation; grades","{'type': 'ideographic', 'hint': 'Laws inscribed\xa0刂 on a slate\xa0贝'}",6,18.4,284,4.0
听,口,⿰口斤,tīng,"hear; understand; obey, comply","{'type': 'ideographic', 'hint': 'Words\xa0口 reaching an ear\xa0斤'}",7,30.4,285,1.0
白,白,⿻？日,bái,"white; pure, unblemished; bright","{'type': 'ideographic', 'hint': 'A burning candle; the rays of the sun'}",5,106.0,286,2.0
却,卩,⿰去卩,què,"still, but; decline; retreat","{'type': 'pictophonetic', 'phonetic': '去', 'semantic': '卩', 'hint': 'seal'}",7,26.5,287,4.0
界,田,⿱田介,jiè,"boundary, limit; domain; society; the world","{'type': 'pictophonetic', 'phonetic': '介', 'semantic': '田', 'hint': 'farm'}",9,102.4,288,3.0
达,辵,⿺辶大,dá,"arrive at, reach; intelligent; smooth, slippery","{'type': 'pictophonetic', 'phonetic': '大', 'semantic': '辶'}",6,162.3,289,5.0
光,儿,⿱⺌兀,guāng,"light, brilliant, shine; only","{'type': 'ideographic', 'hint': 'A person 儿 carrying a torch\xa0火'}",6,10.4,290,4.0
放,攴,⿰方攵,fàng,"put, release, free, liberate","{'type': 'pictophonetic', 'phonetic': '方', 'semantic': '攵', 'hint': 'let go'}",8,66.4,291,3.0
强,弓,⿰弓虽,qiáng,"strong, powerful, energetic","{'type': 'pictophonetic', 'semantic': '弓', 'hint': 'bow', 'phonetic': '虫'}",12,57.9,292,5.0
即,卩,⿰？卩,jí,"promptly, quickly, immediately","{'type': 'ideographic', 'hint': 'A hungry person卩\xa0kneeling over food\xa0皀; compare\xa0既'}",7,26.5,293,4.0
像,人,⿰亻象,xiàng,"a picture, image, figure; to resemble","{'type': 'pictophonetic', 'phonetic': '象', 'semantic': '亻', 'hint': 'person'}",13,9.12,294,3.0
难,又,⿰又隹,nán,"difficult, arduous, hard; unable","{'type': 'ideographic', 'hint': 'A hand\xa0又 trying to grasp at a bird 隹'}",10,29.8,295,3.0
且,一,⿱月一,qiě,"moreover, also (post-subject); about to, will soon (pre-verb)","{'type': 'pictographic', 'hint': 'A stone altar'}",5,1.4,296,3.0
权,木,⿰木又,quán,"power, right, authority","{'type': 'pictophonetic', 'phonetic': '雚', 'semantic': '木', 'hint': 'wood'}",6,75.2,297,5.0
思,心,⿱田心,sī,"think, consider, ponder; final particle","{'type': 'ideographic', 'hint': 'Weighing something with your mind\xa0囟 (altered) and heart\xa0心'}",9,61.5,298,2.0
王,玉,⿱一土,wáng,"king, ruler; royal; surname","{'type': 'ideographic', 'hint': 'A man 十\xa0bridging heaven and earth (both 一)'}",4,96.0,299,5.0
象,豕,⿳⺈口豕,xiàng,"elephant; ivory; figure, image","{'type': 'pictophonetic', 'semantic': '豕', 'hint': 'boar'}",11,152.5,300,4.0
完,宀,⿱宀元,wán,"complete, finish, settle; whole","{'type': 'pictophonetic', 'phonetic': '元', 'semantic': '宀', 'hint': 'roof'}",7,40.4,301,2.0
设,言,⿰讠殳,shè,build; establish; display,"{'type': 'pictophonetic', 'phonetic': '殳', 'semantic': '讠', 'hint': 'speech'}",6,149.4,302,5.0
式,弋,⿹弋工,shì,"style, system, formula, rule","{'type': 'ideographic', 'hint': 'A craftsman using an awl\xa0弋\xa0and a measuring square\xa0工'}",6,56.3,303,4.0
色,色,⿱⺈巴,sè,"color, tint, hue, shade; form, body; beauty, desire for beauty","{'type': 'ideographic', 'hint': 'What a person ⺈ desires 巴'}",6,139.0,304,2.0
路,足,⿰足各,lù,"road, path, street; journey","{'type': 'pictophonetic', 'phonetic': '各', 'semantic': '足', 'hint': 'foot'}",13,157.6,305,2.0
记,言,⿰讠己,jì,"record; keep in mind, remember","{'type': 'ideographic', 'hint': 'A private\xa0己 note\xa0讠;\xa0己 also provides the pronunciation'}",5,149.3,306,3.0
南,十,⿱十⿵冂⿱丷干,nán,south; southern part; southward,"{'type': 'pictographic', 'hint': 'A musical bell'}",9,24.7,307,3.0
品,口,⿱口⿰口口,pǐn,"article, product, commodity","{'type': 'ideographic', 'hint': 'Something that everyone is talking\xa0口 about'}",9,30.6,308,5.0
住,人,⿰亻主,zhù,"reside, live at, dwell, lodge; stop","{'type': 'ideographic', 'hint': 'A person\xa0亻 who hosts\xa0主;\xa0主 also provides the pronunciation'}",7,9.5,309,1.0
告,口,⿱牛口,gào,"tell, announce, inform; accuse","{'type': 'ideographic', 'hint': 'To speak\xa0口\xa0with the force of an ox\xa0牛'}",7,30.4,310,2.0
类,大,⿱米大,lèi,"class, group, kind, category",,9,37.6,311,5.0
求,水,⿻一氺,qiú,"seek; demand, request; beseech",,7,85.2,312,3.0
据,手,⿰扌居,jù,"to occupy, take possession of; a base, position","{'type': 'pictophonetic', 'phonetic': '居', 'semantic': '扌', 'hint': 'hand'}",11,64.8,313,3.0
程,禾,⿰禾呈,chéng,"journey, trip; schedule, agenda","{'type': 'pictophonetic', 'phonetic': '呈', 'semantic': '禾', 'hint': 'grain'}",12,115.7,314,4.0
北,匕,⿰？匕,běi,north; northern; northward,"{'type': 'pictographic', 'hint': 'Two people\xa0匕 sitting back-to-back; phonetic loan for ""north""'}",5,21.3,315,1.0
边,辵,⿺辶力,biān,"edge, margin, side, border","{'type': 'pictophonetic', 'phonetic': '臱', 'semantic': '辶', 'hint': 'walk'}",5,162.2,316,2.0
死,歹,⿸歹匕,sǐ,die; dead; death,"{'type': 'ideographic', 'hint': 'A person kneeling\xa0匕 before a corpse\xa0歹'}",6,78.2,317,4.0
张,弓,⿰弓长,zhāng,"stretch, extend, expand; sheet","{'type': 'pictophonetic', 'phonetic': '长', 'semantic': '弓', 'hint': 'bow'}",7,57.4,318,3.0
该,言,⿰讠亥,gāi,"should, ought to, need to","{'type': 'pictophonetic', 'phonetic': '亥', 'semantic': '讠', 'hint': 'speech'}",8,149.6,319,3.0
